Dev-Kris-VM02/Microsoft.Insights.VMDiagnosticsSettings	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Dev-Kris-VM02/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
dev-kris-vm02667	Microsoft.Network/networkInterfaces	XF-VM-RG	northcentralus
Dev-VM-02	Microsoft.Compute/virtualMachines	XF-VM-RG	northcentralus
Dev-VM-02-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	northcentralus
Dev-VM-02-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	northcentralus
Dev-VM-02/enablevmAccess	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Dev-VM-02/MDE.Windows	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
Dev-VM-02/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions	XF-VM-RG	northcentralus
dev-vm-02767	Microsoft.Network/networkInterfaces	XF-VM-RG	northcentralus
dev-ws-ss-2	Microsoft.Compute/snapshots	MtgTech-User-VMs	northcentralus
Dev2	Microsoft.Network/publicIPAddresses	XF-VM-RG	northcentralus
devimg	Microsoft.Compute/images	XF-VM-RG	westus2
devjim-osdisk-20210107-221600	Microsoft.Compute/disks	XF-VM-RG	northcentralus
encompass-sync-func	Microsoft.Web/sites	encompasssyncfunc	eastus
encompasssyncfunc	Microsoft.Insights/components	encompasssyncfunc	eastus
encompasssyncfunc	Microsoft.Storage/storageAccounts	encompasssyncfunc	eastus
Failure Anomalies - encompasssyncfunc	microsoft.alertsmanagement/smartDetectorAlertRules	encompasssyncfunc	global
FLEX-encompass-sync-func-3d93	Microsoft.Web/serverFarms	encompasssyncfunc	eastus
FX-Virtual-vnet	Microsoft.Network/virtualNetworks	XF-VM-RG	westus2
FXDC01_OsDisk_1_908e33f6eb564def807e452a44e8d16b	Microsoft.Compute/disks	XF-VM-RG	westus2
FXDC01-ip	Microsoft.Network/publicIPAddresses	XF-VM-RG	westus2
FXDC01-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	westus2
fxdc01448	Microsoft.Network/networkInterfaces	XF-VM-RG	westus2
fxvirtualdiag	Microsoft.Storage/storageAccounts	XF-VM-RG	westus2
fxvirtualdiag365	Microsoft.Storage/storageAccounts	XF-VM-RG	westus
mortgage-pilot	Microsoft.Web/staticSites	urla-workbook_group	eastus2
mtgshellstorage	Microsoft.Storage/storageAccounts	mtgshellgroup	southcentralus
MTGTech-DC01_OsDisk_1_b208c9abf8a24e9eb6c1a2c1d1ca0f22	Microsoft.Compute/disks	XF-VM-RG	northcentralus
MTGTech-DC01-nsg	Microsoft.Network/networkSecurityGroups	XF-VM-RG	northcentralus
